1:pkgconfig-0.28-6.fc21.x86_64,1:pkgconfig-0.28-6.fc21.src.rpm
policycoreutils-devel-2.3-7.1.fc21.x86_64,policycoreutils-2.3-7.1.fc21.src.rpm
tcsh-6.18.01-12.fc21.x86_64,tcsh-6.18.01-12.fc21.src.rpm
libuser-devel-0.60-6.fc21.x86_64,libuser-0.60-6.fc21.src.rpm
python3-devel-3.4.1-15.fc21.x86_64,python3-3.4.1-15.fc21.src.rpm
libcap-ng-devel-0.7.4-7.fc21.x86_64,libcap-ng-0.7.4-7.fc21.src.rpm
systemd-devel-215-19.fc21.x86_64,systemd-215-19.fc21.src.rpm
popt-devel-1.16-5.fc21.x86_64,popt-1.16-5.fc21.src.rpm
pam-devel-1.1.8-16.fc21.x86_64,pam-1.1.8-16.fc21.src.rpm
libutempter-devel-1.1.6-6.fc21.x86_64,libutempter-1.1.6-6.fc21.src.rpm
libselinux-devel-2.3-4.fc21.x86_64,libselinux-2.3-4.fc21.src.rpm
hunspell-devel-1.3.3-3.fc21.x86_64,hunspell-1.3.3-3.fc21.src.rpm
gstreamer1-plugins-base-devel-1.4.2-1.fc21.x86_64,gstreamer1-plugins-base-1.4.2-1.fc21.src.rpm
startup-notification-devel-0.12-9.fc21.x86_64,startup-notification-0.12-9.fc21.src.rpm
mesa-libGL-devel-10.3-1.20140927.fc21.x86_64,mesa-10.3-1.20140927.fc21.src.rpm
libXt-devel-1.1.4-10.fc21.x86_64,libXt-1.1.4-10.fc21.src.rpm
fedora-bookmarks-15-5.fc21.noarch,fedora-bookmarks-15-5.fc21.src.rpm
krb5-devel-1.12.2-9.fc21.x86_64,krb5-1.12.2-9.fc21.src.rpm
freetype-devel-2.5.3-8.fc21.x86_64,freetype-2.5.3-8.fc21.src.rpm
autoconf213-2.13-32.fc21.noarch,autoconf213-2.13-32.fc21.src.rpm
zip-3.0-12.fc21.x86_64,zip-3.0-12.fc21.src.rpm
libXrender-devel-0.9.8-4.fc21.x86_64,libXrender-0.9.8-4.fc21.src.rpm
alsa-lib-devel-1.0.28-2.fc21.x86_64,alsa-lib-1.0.28-2.fc21.src.rpm
gstreamer1-devel-1.4.2-1.fc21.x86_64,gstreamer1-1.4.2-1.fc21.src.rpm
pulseaudio-libs-devel-5.0-10.fc21.x86_64,pulseaudio-5.0-10.fc21.src.rpm
libIDL-devel-0.8.14-9.fc21.x86_64,libIDL-0.8.14-9.fc21.src.rpm
libvpx-devel-1.3.0-6.fc21.x86_64,libvpx-1.3.0-6.fc21.src.rpm
nspr-devel-4.10.7-1.fc21.x86_64,nspr-4.10.7-1.fc21.src.rpm
libffi-devel-3.1-6.fc21.x86_64,libffi-3.1-6.fc21.src.rpm
javapackages-tools-4.1.0-2.fc21.noarch,javapackages-tools-4.1.0-2.fc21.src.rpm
1:junit-4.11-14.fc21.noarch,1:junit-4.11-14.fc21.src.rpm
ant-1.9.4-3.fc21.noarch,ant-1.9.4-3.fc21.src.rpm
tomcat-servlet-3.0-api-7.0.54-3.fc21.noarch,tomcat-7.0.54-3.fc21.src.rpm
cairo-devel-1.13.1-0.4.git337ab1f.fc21.x86_64,cairo-1.13.1-0.4.git337ab1f.fc21.src.rpm
mpfr-devel-3.1.2-6.fc21.x86_64,mpfr-3.1.2-6.fc21.src.rpm
1:gmp-devel-6.0.0-7.fc21.x86_64,1:gmp-6.0.0-7.fc21.src.rpm
texinfo-tex-5.2-5.fc21.x86_64,texinfo-5.2-5.fc21.src.rpm
glibc-devel-2.20-5.fc21.x86_64,glibc-2.20-5.fc21.src.rpm
elfutils-libelf-devel-0.160-1.fc21.x86_64,elfutils-0.160-1.fc21.src.rpm
glibc-static-2.20-5.fc21.x86_64,glibc-2.20-5.fc21.src.rpm
1:doxygen-1.8.8-1.fc21.x86_64,1:doxygen-1.8.8-1.fc21.src.rpm
systemtap-sdt-devel-2.6-3.fc21.x86_64,systemtap-2.6-3.fc21.src.rpm
sharutils-4.14-4.fc21.x86_64,sharutils-4.14-4.fc21.src.rpm
libmpc-devel-1.0.2-3.fc21.x86_64,libmpc-1.0.2-3.fc21.src.rpm
gdb-7.8-25.fc21.x86_64,gdb-7.8-25.fc21.src.rpm
4:texlive-collection-latex-svn33055.0-1.1.20140525_r34255.fc21.noarch,4:texlive-2014-1.1.20140525_r34255.fc21.src.rpm
libgnat-4.9.1-11.fc21.x86_64,gcc-4.9.1-11.fc21.src.rpm
dblatex-0.3.5-2.fc21.noarch,dblatex-0.3.5-2.fc21.src.rpm
docbook5-style-xsl-1.78.1-3.fc21.noarch,docbook5-style-xsl-1.78.1-3.fc21.src.rpm
1:dejagnu-1.5.1-4.fc21.noarch,1:dejagnu-1.5.1-4.fc21.src.rpm
gcc-gnat-4.9.1-11.fc21.x86_64,gcc-4.9.1-11.fc21.src.rpm
1:js-devel-1.8.5-19.fc21.x86_64,1:js-1.8.5-19.fc21.src.rpm
automake-1.14.1-5.fc21.noarch,automake-1.14.1-5.fc21.src.rpm
gpm-devel-1.20.7-6.fc21.x86_64,gpm-1.20.7-6.fc21.src.rpm
libidn2-devel-0.8-7.fc21.x86_64,libidn2-0.8-7.fc21.src.rpm
lua-devel-5.2.2-8.fc21.x86_64,lua-5.2.2-8.fc21.src.rpm
expat-devel-2.1.0-10.fc21.x86_64,expat-2.1.0-10.fc21.src.rpm
nss_compat_ossl-devel-0.9.6-8.fc21.x86_64,nss_compat_ossl-0.9.6-8.fc21.src.rpm
device-mapper-libs-1.02.90-1.fc21.x86_64,lvm2-2.02.111-1.fc21.src.rpm
dmraid-devel-1.0.0.rc16-25.fc21.x86_64,dmraid-1.0.0.rc16-25.fc21.src.rpm
device-mapper-devel-1.02.90-1.fc21.x86_64,lvm2-2.02.111-1.fc21.src.rpm
libsepol-devel-2.3-4.fc21.x86_64,libsepol-2.3-4.fc21.src.rpm
device-mapper-event-devel-1.02.90-1.fc21.x86_64,lvm2-2.02.111-1.fc21.src.rpm
libraw1394-devel-2.1.0-4.fc21.x86_64,libraw1394-2.1.0-4.fc21.src.rpm
iso-codes-3.56-1.fc21.noarch,iso-codes-3.56-1.fc21.src.rpm
glibc-common-2.20-5.fc21.x86_64,glibc-2.20-5.fc21.src.rpm
glibc-2.20-5.fc21.x86_64,glibc-2.20-5.fc21.src.rpm
1:numpy-1.8.2-2.fc21.x86_64,1:numpy-1.8.2-2.fc21.src.rpm
libtool-2.4.2-30.fc21.x86_64,libtool-2.4.2-30.fc21.src.rpm
libglade2-devel-2.6.4-12.fc21.x86_64,libglade2-2.6.4-12.fc21.src.rpm
pygobject2-devel-2.28.6-13.fc21.x86_64,pygobject2-2.28.6-13.fc21.src.rpm
docbook-style-xsl-1.78.1-3.fc21.noarch,docbook-style-xsl-1.78.1-3.fc21.src.rpm
libxslt-1.1.28-8.fc21.x86_64,libxslt-1.1.28-8.fc21.src.rpm
pycairo-devel-1.8.10-12.fc21.x86_64,pycairo-1.8.10-12.fc21.src.rpm
python-cups-1.9.68-1.fc21.x86_64,python-cups-1.9.68-1.fc21.src.rpm
libacl-devel-2.2.52-7.fc21.x86_64,acl-2.2.52-7.fc21.src.rpm
avahi-devel-0.6.31-29.fc21.x86_64,avahi-0.6.31-29.fc21.src.rpm
openldap-devel-2.4.40-1.fc21.x86_64,openldap-2.4.40-1.fc21.src.rpm
e2fsprogs-1.42.11-3.fc21.x86_64,e2fsprogs-1.42.11-3.fc21.src.rpm
1:nfs-utils-1.3.0-7.0.fc21.x86_64,1:nfs-utils-1.3.0-7.0.fc21.src.rpm
cyrus-sasl-devel-2.1.26-19.fc21.x86_64,cyrus-sasl-2.1.26-19.fc21.src.rpm
hesiod-devel-3.2.1-4.fc21.x86_64,hesiod-3.2.1-4.fc21.src.rpm
libtirpc-devel-0.2.5-0.1.fc21.x86_64,libtirpc-0.2.5-0.1.fc21.src.rpm
sssd-common-1.12.1-2.fc21.x86_64,sssd-1.12.1-2.fc21.src.rpm
util-linux-2.25.1-0.1.fc21.x86_64,util-linux-2.25.1-0.1.fc21.src.rpm
kernel-headers-3.17.0-301.fc21.x86_64,kernel-3.17.0-301.fc21.src.rpm
gd-devel-2.1.0-7.fc21.x86_64,gd-2.1.0-7.fc21.src.rpm
sed-4.2.2-9.fc21.x86_64,sed-4.2.2-9.fc21.src.rpm
procps-ng-3.3.9-12.fc21.x86_64,procps-ng-3.3.9-12.fc21.src.rpm
libcap-devel-2.24-7.fc21.x86_64,libcap-2.24-7.fc21.src.rpm
libstdc++-static-4.9.1-11.fc21.x86_64,gcc-4.9.1-11.fc21.src.rpm
perl-XML-Parser-2.41-13.fc21.x86_64,perl-XML-Parser-2.41-13.fc21.src.rpm
pixman-devel-0.32.6-3.fc21.x86_64,pixman-0.32.6-3.fc21.src.rpm
libXpm-devel-3.5.11-3.fc21.x86_64,libXpm-3.5.11-3.fc21.src.rpm
libxkbfile-devel-1.0.8-6.fc21.x86_64,libxkbfile-1.0.8-6.fc21.src.rpm
libXfixes-devel-5.0.1-4.fc21.x86_64,libXfixes-5.0.1-4.fc21.src.rpm
libXext-devel-1.3.3-2.fc21.x86_64,libXext-1.3.3-2.fc21.src.rpm
libdrm-devel-2.4.58-1.fc21.x86_64,libdrm-2.4.58-1.fc21.src.rpm
libXi-devel-1.7.4-2.fc21.x86_64,libXi-1.7.4-2.fc21.src.rpm
mesa-libEGL-devel-10.3-1.20140927.fc21.x86_64,mesa-10.3-1.20140927.fc21.src.rpm
xcb-util-wm-devel-0.4.1-4.fc21.x86_64,xcb-util-wm-0.4.1-4.fc21.src.rpm
libXau-devel-1.0.8-4.fc21.x86_64,libXau-1.0.8-4.fc21.src.rpm
xorg-x11-util-macros-1.19.0-3.fc21.noarch,xorg-x11-util-macros-1.19.0-3.fc21.src.rpm
1:xorg-x11-font-utils-7.5-21.fc21.x86_64,1:xorg-x11-font-utils-7.5-21.fc21.src.rpm
mesa-libgbm-devel-10.3-1.20140927.fc21.x86_64,mesa-10.3-1.20140927.fc21.src.rpm
libXaw-devel-1.0.12-4.fc21.x86_64,libXaw-1.0.12-4.fc21.src.rpm
git-2.1.0-1.fc21.x86_64,git-2.1.0-1.fc21.src.rpm
